,id,text,normal,insult,obscenity,threat
0,41127,дворника надо тоже уничтожить!,0,0,0,1
1,6812,"моя старшая неделю шипела, не принимала подкидыша, которого я принесла. китя такой славный, потерпите немного, мои теперь душа в душу живут, ваша примет попозже. а котенок необыкновенно красивый.",1,0,0,0
2,6256,полностью с вами согласна!,1,0,0,0
3,189636,"хоть ногу вверх, ничего не изменится",1,0,0,0
4,99053,а что значит - левого ребенка?,1,0,0,0
5,98418,"вечер добрый! а, что он у вас уже постарел?!",1,0,0,0
6,3619,какая порода .?,1,0,0,0
7,176463,"спасатель? просто петух чванливый, взял наших пацанов в заложники и торгуется. позор! как бы сам в щи не попал.",0,1,0,0
8,13520,"с замечательным юбилеем!!! голос- чудо, заслушаешься 😍и про чтение все правильно- ничто не сравнится с бумажной книгой!",1,0,0,0
9,133613,еще бы .такой красавец.,1,0,0,0
10,77333,есть вот такое фото культурно-массового мероприятия.,1,0,0,0
11,201554,можно бесконечно искать недостатки! мудрак это достойный кандидат для главы города красномакенска.,1,0,0,0
12,167393,..... 100% (охрана) + 5 по 100% (всё остальное). итог понятен! полный кирдык!!!,1,0,0,0
13,210414,"бедьненький,давайте скинемся,а то сдохнет мразь!",0,1,0,0
14,91190,организация противопожарного контроля. но вот денег на неё нет:-(,1,0,0,0
15,40268,ещё версии есть или только эта?,1,0,0,0
16,79556,я всегда говорила -ума нет вот и бодаются с матерками !!! какие слова -такие и мысли !!! о какие мысли ???? !! глупый инстинкт !!!,1,0,0,0
17,193973,гать метлой,1,0,0,0
18,45268,"извините нечаянно нажала, но время от времени пью это лекарство, продаётся в зооветснабе",1,0,0,0
19,97110,шахтам горловки уже 3 года днр должны и вообще тишина,1,0,0,0
20,80835,не в спину целилась)),1,0,0,0
21,136750,за 4 пришла смс гуляй поле.,1,0,0,0
22,232743,только одна пустая трепотня.....,1,0,0,0
23,85343,модератор заебал. я хочу смотреть и читать новости про жигалово. а ты всякое говно ставишь.,0,1,0,0
24,237686,долбаеб . тебе насрать на слезы матери . видать хорошо пилоткой хорошо накрыла тебя,0,1,0,0
25,72925,"молодец! спасибо большое за доброе дело!счастья тебе,хороший человек!",1,0,0,0
26,60369,после 2 таких отключений супруга сама научилась их обратно ставить,1,0,0,0
27,16945,гнать в шею таких дорожников в освояси!,1,0,0,0
28,121147,за карантин многие стали коррумпированнее)),1,0,0,0
29,239081,какую сейчас качать?,1,0,0,0
30,45271,уважуха мужику. вот что значит настоящий патриот!!! 👍,1,0,0,0
31,182975,оо зg оо оо о комментарии класс лариса платонова в б звв продам запчасти уаз вбб комментарии класс николай зыбайлов,1,0,0,0
32,10162,281 большая игра,1,0,0,0
33,39294,"скажите, соду надо добавлять в тесто?",1,0,0,0
34,13618,"тройка,был такой",1,0,0,0
35,54244,во вторую мировую еще покруче могли. получатся что за 900 лет никого прогресса? как бараны идти заведомо на смерть во имя императора? это даже была не защита родины. не восхищаюсь.,1,0,0,0
36,221943,"что жизнь девушки будет загублена, это точно, говорю не голословно. я тоже в двадцать лет осталась одна со своим братиком, ему исполнилось тогда два годика. тогда я отстояла, чтобы его не забрали в дет. дом. учебу в колледже бросила. всё было: и детский сад и школа, и болезни и радости, и армия и устройство на работу. отдавала ему всю свою любовь и заботу. но когда это делаешь слишком старательно, тоже плохо. прошло уже с тех пор больше сорока лет. личная жизнь у меня сложилась, но итог: теперь мы с ним враги, просто чужие, для него хуже меня и нет. оказывается эта жерва нужна была всем только тогда. а в данной ситуации не один - семеро! дай бог чтобы в этой семье такого не повторилось. девушке - не отчаиваться и ...запастись терпением, а любви к своим братикам и сестрёнке в свои 20-ть у неё предостаточно. она просто герой (но не молодец).",1,0,0,0
37,46855,"деревни погибают потому что уничтожили животноводство,стало много безработных,что бы как то жить стали продавать земли или сдавать появились новые хозяева да не один",1,0,0,0
